epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,6574.57,0.83523,0.31768,0.77895,0.96147,0.79437,0.85457,0.60146,1.03188,0.35196,0.79976,0.00585438,0.00585438,0.00585438
69,6678.13,0.84812,0.32072,0.7783,0.96586,0.7953,0.8566,0.60137,1.03134,0.35169,0.80033,0.0057925,0.0057925,0.0057925
70,6781.62,0.83652,0.31684,0.77854,0.96318,0.79511,0.85604,0.6063,1.01916,0.34725,0.79966,0.00573063,0.00573063,0.00573063
71,6886.94,0.84557,0.32013,0.77733,0.95727,0.78812,0.85095,0.60176,1.02161,0.34948,0.79967,0.00566875,0.00566875,0.00566875
72,7005.64,0.82647,0.31497,0.77792,0.95954,0.79077,0.85738,0.60956,1.01924,0.34861,0.79915,0.00560687,0.00560687,0.00560687
73,7120.61,0.83321,0.31488,0.7763,0.97125,0.79055,0.85546,0.60725,1.01386,0.34807,0.79875,0.005545,0.005545,0.005545
74,7237.79,0.82468,0.31206,0.77785,0.96209,0.79001,0.85599,0.60975,1.015,0.34643,0.7986,0.00548313,0.00548313,0.00548313
75,7334.65,0.8192,0.31137,0.77767,0.94434,0.7965,0.85429,0.60768,1.008,0.34467,0.79821,0.00542125,0.00542125,0.00542125
76,7422.05,0.82528,0.31245,0.77667,0.96534,0.78428,0.85992,0.60836,1.0069,0.34601,0.79838,0.00535937,0.00535937,0.00535937
77,7510.05,0.82005,0.31136,0.77632,0.9683,0.79141,0.85502,0.60945,1.00735,0.34528,0.79831,0.0052975,0.0052975,0.0052975
78,7598.36,0.81199,0.30814,0.77654,0.9599,0.79342,0.85618,0.61052,1.00274,0.34246,0.79832,0.00523563,0.00523563,0.00523563
79,7684.65,0.80392,0.30509,0.77647,0.95345,0.78914,0.85667,0.60757,1.0064,0.34493,0.79812,0.00517375,0.00517375,0.00517375
80,7769.65,0.80381,0.30641,0.77675,0.94354,0.79083,0.85462,0.60693,1.00645,0.34548,0.79813,0.00511188,0.00511188,0.00511188
81,7854.09,0.8101,0.30826,0.77531,0.94235,0.79189,0.8526,0.60803,1.0014,0.34453,0.79754,0.00505,0.00505,0.00505
